@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute global_motion numeric
@attribute motion_L numeric
@attribute motion_R numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric
@attribute outputs-5 numeric

@data
833,'2017/09/14 22:03:13:520',21,0.048437,0.0125,0.084375,?,?,?,?,?
834,'2017/09/14 22:03:13:554',21,0.025,0.009375,0.040625,?,?,?,?,?
835,'2017/09/14 22:03:13:569',21,0.025,0.009375,0.040625,?,?,?,?,?
836,'2017/09/14 22:03:13:587',21,0.025,0.009375,0.040625,?,?,?,?,?
837,'2017/09/14 22:03:13:603',21,0.025,0.009375,0.040625,?,?,?,?,?
838,'2017/09/14 22:03:13:637',21,0.039063,0.00625,0.071875,?,?,?,?,?
839,'2017/09/14 22:03:13:652',21,0.039063,0.00625,0.071875,?,?,?,?,?
840,'2017/09/14 22:03:13:669',21,0.039063,0.00625,0.071875,?,?,?,?,?
841,'2017/09/14 22:03:13:685',21,0.039063,0.00625,0.071875,?,?,?,?,?
842,'2017/09/14 22:03:13:719',21,0.045313,0.003125,0.0875,?,?,?,?,?
843,'2017/09/14 22:03:13:736',21,0.045313,0.003125,0.0875,?,?,?,?,?
844,'2017/09/14 22:03:13:752',21,0.045313,0.003125,0.0875,?,?,?,?,?
845,'2017/09/14 22:03:13:771',21,0.045313,0.003125,0.0875,?,?,?,?,?
846,'2017/09/14 22:03:13:803',21,0.040625,0.003125,0.078125,?,?,?,?,?
847,'2017/09/14 22:03:13:818',21,0.040625,0.003125,0.078125,?,?,?,?,?
848,'2017/09/14 22:03:13:836',21,0.040625,0.003125,0.078125,?,?,?,?,?
849,'2017/09/14 22:03:13:853',21,0.040625,0.003125,0.078125,?,?,?,?,?
850,'2017/09/14 22:03:13:887',21,0.048437,0.003125,0.09375,?,?,?,?,?
851,'2017/09/14 22:03:13:902',21,0.048437,0.003125,0.09375,?,?,?,?,?
852,'2017/09/14 22:03:13:919',21,0.048437,0.003125,0.09375,?,?,?,?,?
853,'2017/09/14 22:03:13:936',21,0.048437,0.003125,0.09375,?,?,?,?,?
854,'2017/09/14 22:03:13:969',21,0.060938,0.0125,0.109375,?,?,?,?,?
855,'2017/09/14 22:03:13:987',21,0.060938,0.0125,0.109375,?,?,?,?,?
856,'2017/09/14 22:03:14:002',21,0.060938,0.0125,0.109375,?,?,?,?,?
857,'2017/09/14 22:03:14:020',21,0.060938,0.0125,0.109375,?,?,?,?,?
858,'2017/09/14 22:03:14:053',21,0.048437,0.0125,0.084375,?,?,?,?,?
859,'2017/09/14 22:03:14:071',21,0.048437,0.0125,0.084375,?,?,?,?,?
860,'2017/09/14 22:03:14:085',21,0.048437,0.0125,0.084375,?,?,?,?,?
861,'2017/09/14 22:03:14:104',21,0.048437,0.0125,0.084375,?,?,?,?,?
862,'2017/09/14 22:03:14:137',21,0.045313,0.0125,0.078125,?,?,?,?,?
863,'2017/09/14 22:03:14:152',21,0.045313,0.0125,0.078125,?,?,?,?,?
864,'2017/09/14 22:03:14:171',21,0.045313,0.0125,0.078125,?,?,?,?,?
865,'2017/09/14 22:03:14:186',21,0.045313,0.0125,0.078125,?,?,?,?,?
866,'2017/09/14 22:03:14:220',21,0.065625,0.01875,0.1125,?,?,?,?,?
867,'2017/09/14 22:03:14:236',21,0.065625,0.01875,0.1125,?,?,?,?,?
868,'2017/09/14 22:03:14:252',21,0.065625,0.01875,0.1125,?,?,?,?,?
869,'2017/09/14 22:03:14:269',21,0.065625,0.01875,0.1125,?,?,?,?,?
870,'2017/09/14 22:03:14:302',21,0.014062,0,0.028125,?,?,?,?,?
871,'2017/09/14 22:03:14:319',21,0.014062,0,0.028125,?,?,?,?,?
872,'2017/09/14 22:03:14:336',21,0.014062,0,0.028125,?,?,?,?,?
873,'2017/09/14 22:03:14:353',21,0.014062,0,0.028125,?,?,?,?,?
874,'2017/09/14 22:03:14:387',21,0.060938,0.00625,0.115625,?,?,?,?,?
875,'2017/09/14 22:03:14:403',21,0.060938,0.00625,0.115625,?,?,?,?,?
876,'2017/09/14 22:03:14:419',21,0.060938,0.00625,0.115625,?,?,?,?,?
877,'2017/09/14 22:03:14:437',21,0.060938,0.00625,0.115625,?,?,?,?,?
878,'2017/09/14 22:03:14:470',21,0.057813,0.003125,0.1125,?,?,?,?,?
879,'2017/09/14 22:03:14:486',21,0.057813,0.003125,0.1125,?,?,?,?,?
880,'2017/09/14 22:03:14:502',21,0.057813,0.003125,0.1125,?,?,?,?,?
881,'2017/09/14 22:03:14:521',21,0.057813,0.003125,0.1125,?,?,?,?,?
882,'2017/09/14 22:03:14:554',21,0.032812,0.009375,0.05625,?,?,?,?,?
883,'2017/09/14 22:03:14:569',21,0.032812,0.009375,0.05625,?,?,?,?,?
884,'2017/09/14 22:03:14:586',21,0.032812,0.009375,0.05625,?,?,?,?,?
885,'2017/09/14 22:03:14:604',21,0.032812,0.009375,0.05625,?,?,?,?,?
886,'2017/09/14 22:03:14:637',21,0.0625,0.0125,0.1125,?,?,?,?,?
887,'2017/09/14 22:03:14:653',21,0.0625,0.0125,0.1125,?,?,?,?,?
888,'2017/09/14 22:03:14:670',21,0.0625,0.0125,0.1125,?,?,?,?,?
889,'2017/09/14 22:03:14:686',21,0.0625,0.0125,0.1125,?,?,?,?,?
890,'2017/09/14 22:03:14:719',21,0.048437,0.003125,0.09375,?,?,?,?,?
